Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age_Group,Day of week,Time of day
20171131,NSW,11,2017,Thursday,21:00,Single,No,No,No,100,Driver,Male,80,Inner Regional Australia,Mid North Coast,Mid-Coast,Sub-arterial Road,No,No,75_or_older,Weekday,Night
20171280,NSW,11,2017,Monday,22:00,Single,No,No,No,80,Driver,Male,27,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Arterial Road,No,No,26_to_39,Weekday,Night
20175014,WA,11,2017,Tuesday,3:00,Single,No,No,No,90,Driver,Male,47,Inner Regional Australia,Western Australia - Wheat Belt,Toodyay (S),Arterial Road,No,No,40_to_64,Weekday,Night
20172003,Vic,10,2017,Sunday,1:00,Single,No,No,No,60,Passenger,Male,23,Major Cities of Australia,Mornington Peninsula,Frankston (C),Local Road,No,No,17_to_25,Weekend,Night
20171237,NSW,10,2017,Saturday,2:00,Single,No,No,No,100,Passenger,Male,17,Inner Regional Australia,Mid North Coast,Mid-Coast,Local Road,No,No,17_to_25,Weekend,Night
20171024,NSW,10,2017,Saturday,23:00,Single,No,No,No,100,Driver,Male,23,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,No,No,17_to_25,Weekend,Night
20171088,NSW,10,2017,Saturday,3:00,Multiple,No,No,Yes,110,Passenger,Male,23,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway,No,No,17_to_25,Weekend,Night
20171010,NSW,10,2017,Saturday,4:00,Multiple,No,No,No,80,Driver,Male,23,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,17_to_25,Weekend,Night
20175038,WA,10,2017,Friday,22:00,Multiple,No,No,No,70,Driver,Male,38,Major Cities of Australia,Perth - South West,Cockburn (C),National or State Highway,No,No,26_to_39,Weekend,Night
20171030,NSW,10,2017,Saturday,3:00,Single,No,No,No,70,Driver,Male,26,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Sub-arterial Road,No,No,26_to_39,Weekend,Night
20171009,NSW,10,2017,Monday,0:00,Single,No,No,No,100,Driver,Male,46,Inner Regional Australia,Capital Region,Shoalhaven,National or State Highway,No,No,40_to_64,Weekend,Night
20171008,NSW,10,2017,Friday,20:00,Single,No,No,No,100,Motorcycle rider,Male,57,Outer Regional Australia,Far West and Orana,Warrumbungle,Sub-arterial Road,No,No,40_to_64,Weekend,Night
20173092,Qld,10,2017,Sunday,18:00,Single,No,No,No,100,Driver,Male,44,,,,,No,No,40_to_64,Weekend,Night
20173141,Qld,10,2017,Sunday,19:00,Single,No,No,No,80,Passenger,Female,48,,,,,No,No,40_to_64,Weekend,Night
20175132,WA,10,2017,Friday,19:00,Single,No,No,No,50,Passenger,Male,16,Major Cities of Australia,Perth - South West,Rockingham (C),Local Road,No,No,0_to_16,Weekend,Night
20175132,WA,10,2017,Friday,19:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Perth - South West,Rockingham (C),Local Road,No,No,17_to_25,Weekend,Night
20173228,Qld,10,2017,Wednesday,19:00,Multiple,No,No,No,60,Driver,Female,21,,,,,No,No,17_to_25,Weekday,Night
20173200,Qld,10,2017,Tuesday,20:00,Multiple,No,No,No,60,Pedal cyclist,Female,19,,,,,No,No,17_to_25,Weekday,Night
20174038,SA,10,2017,Friday,4:00,Single,No,No,No,60,Driver,Female,17,Major Cities of Australia,Adelaide - South,Onkaparinga (C),Sub-arterial Road,No,No,17_to_25,Weekday,Night
20171186,NSW,10,2017,Thursday,2:00,Single,No,No,No,80,Passenger,Male,21,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway,No,No,17_to_25,Weekday,Night
20174051,SA,10,2017,Monday,18:00,Single,No,No,No,100,Driver,Male,25,Outer Regional Australia,South Australia - South East,Grant (DC),Sub-arterial Road,No,No,17_to_25,Weekday,Night
20172017,Vic,10,2017,Wednesday,20:00,Multiple,No,No,No,100,Pedal cyclist,Male,18,Inner Regional Australia,Geelong,Surf Coast (S),Local Road,No,No,17_to_25,Weekday,Night
20172048,Vic,10,2017,Friday,3:00,Single,No,No,No,80,Driver,Male,18,Inner Regional Australia,Hume,Wodonga (C),National or State Highway,No,No,17_to_25,Weekday,Night
20175086,WA,10,2017,Thursday,23:00,Multiple,No,No,Yes,110,Passenger,Male,37,Very Remote Australia,Western Australia - Outback (North),East Pilbara (S),National or State Highway,No,No,26_to_39,Weekday,Night
